S.No,Product_name,Selling_price,Original_price,Ratings_count,Reviews_count,Display,Camera,Processor,Warranty,Battery,Info,RAM,ROM,Is_Expandable,Expandable_Upto,Colours,Discount,Warranty Status
97,Apple iPhone 12 mini,74900,,130809,10152,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield,,256 GB,No,,"Black, Blue, Green, Purple, Red, White",No discount,Warranty Not available
98,Apple iPhone 12 Pro Max,129900,,1276,100,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield | Industry-leading IP68 Water Resistance,,256 GB,No,,"Gold, Graphite, Pacific Blue, Silver",No discount,Warranty Not available
99,Apple iPhone 14 Pro,169900,,2198,151,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,1 TB,No,,"Deep Purple, Gold, Silver, Space Black",No discount,YES
100,Apple iPhone SE,44900,,154612,11948,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,,,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",,128 GB,No,,"Black, Red, White",No discount,Warranty Not available
101,Apple iPhone SE 3rd Gen,52600,,1426,137,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Midnight, Product, Starlight",No discount,YES
102,Apple iPhone 15 Pro Max,179900,,2829,196,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Black Titanium, Blue Titanium, Natural Titanium, White Titanium",No discount,YES
103,Apple iPhone 13 Pro Max,159900,,2088,192,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Alpine Green, Gold, Graphite, Sierra Blue, Silver",No discount,YES
104,Apple iPhone 15,84900,89900,271335,9480,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Black, Blue, Green, Pink, Yellow",5.6,YES
105,Apple iPhone 12 Pro,119900,,1340,98,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield | Industry-leading IP68 Water Resistance,,256 GB,No,,"Gold, Graphite, Pacific Blue, Silver",No discount,Warranty Not available
106,Apple iPhone 11 Pro Max,109900,,1101,98,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,64 GB,No,,"Gold, Midnight Green, Silver, Space Grey",No discount,YES
107,Apple iPhone 11 Pro,106600,,8679,618,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,64 GB,No,,"Gold, Midnight Green, Silver, Space Grey",No discount,YES
108,Apple iPhone 12 Pro,109900,,1340,98,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield | Industry-leading IP68 Water Resistance,,128 GB,No,,"Gold, Graphite, Pacific Blue, Silver",No discount,Warranty Not available
109,Apple iPhone 6,36990,52000,145094,16051,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,Apple A8 64-bit processor and M8 Motion Co-processor,1 Year Manufacturer Warranty,,,,16 GB,No,,"Silver, Space Grey",28.9,YES
110,Apple iPhone SE,54900,,154612,11948,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,,,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",,256 GB,No,,"Black, Red, White",No discount,Warranty Not available
111,Apple iPhone 12 Pro Max,149900,,1276,100,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield | Industry-leading IP68 Water Resistance,,512 GB,No,,"Gold, Graphite, Pacific Blue, Silver",No discount,Warranty Not available
112,Apple iPhone 8 Plus,84900,,3428,354,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year,,,,256 GB,No,,Gold,No discount,YES
113,Apple iPhone SE 3rd Gen,47600,,1426,137,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,64 GB,No,,"Midnight, Product, Starlight",No discount,YES
114,Apple iPhone 6 Plus,39999,62000,1674,197,13.97 cm (5.5 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,A8 64-bit processor and M8 Motion Co-processor,1 Year Manufacturer Warranty,,,,16 GB,No,,"Silver, Space Grey",35.5,YES
115,Apple iPhone 6s Plus,34900,,18743,2352,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year,,,,32 GB,No,,"Gold, Rose Gold, Silver, Space Grey",No discount,YES
116,Apple iPhone 16e,89900,,1780,115,15.49 cm (6.1 inch) Super Retina XDR Display,48MP Rear Camera | 12MP Front Camera,"A18 Chip, 6 Core Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Black, White",No discount,YES
117,Apple iPhone 15 Pro Max,199900,,2829,196,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,1 TB,No,,"Black Titanium, Blue Titanium, Natural Titanium, White Titanium",No discount,YES
118,Apple iPhone 12 Pro,139900,,1340,98,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield | Industry-leading IP68 Water Resistance,,512 GB,No,,"Gold, Graphite, Pacific Blue, Silver",No discount,Warranty Not available
